Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
0.0169,1.861,6.99226,1910,5250,0.96,0.88,,159.906
0.017016,1.585,5.74,1756,5259,0.82,0.91,,159.906
0.0172,1.68,21,,5275,0.87,0.93,,159.906
,1.681,4.07661,,5275,0.83,0.82,,159.906
0.017,,4.73,,5256,0.86,0.9,-0.289,159.906
0.046,,8.4,,5256,0.86,0.9,-0.289,159.906
0.045,,13.56,,5256,0.86,0.9,-0.289,159.906
0.063,6.39,69.92,,5080,0.77,0.88,,322.037
0.0636,6.938,69.28694,870,,0.8,0.89,-0.4,322.037
0.0633,7.981,68.65128,922,5080,0.9,0.88,,322.037
0.06339,6.389,69.28694,,5080,0.77,0.88,,322.037
0.4027,11.624,262.52758,413,5625,0.94,0.96,,412.98
0.4021,11.949,266.9772,420,5625,0.96,0.96,,412.98
0.407,11.77,266.97,,5625,0.94,0.99,,412.98
0.4029,11.949,268.88418,,5625,0.96,0.96,,412.98
0.071,6.389,47.6745,938,5970,0.79,1.08,-0.155,576.683
5.75,,,,,,0.51,,30.5225
0.36,,9057.77,,,,0.07,,
330,,3496,,,0.27,0.33,,134.846
,30.264,3496.13,2200,4371,1.37,0.68,-0.212,134.846
0.1462,,,877,6196,1.26,1.21,,62.5388
0.0733,,,1239,6196,1.26,1.21,,62.5388
0.0422,,,1632,6196,1.26,1.21,,62.5388
0.0651,,,1314,6196,1.26,1.21,,62.5388
0.0664,,,1000,6500,1.78,1.44,0.104,137.94
0.0662,,,854,5138,0.91,0.87,,45.23
0.0662,,,854,,,,,45.23
8.6,,1995.88832,,,,,,305.684
8.19,,,,,,0.69,,305.684
,5.7,,850,5428,0.96,1.01,-0.14,44.0622
,5.63,413.179,,5542,0.87,0.96,,44.0622
,6.955,,966,5414,0.95,,,44.0622
0.0349,1.047,,,3648,0.28,0.29,,
,1.87,,,,,0.41,,159.259
,2.2,,,,0.37,,,159.259
,0.692,,,,,0.78,,253.026
,1.22,,,,,1.07,,476.882
,1.03,,,,,0.67,,334.967
0.0296,0.908,,,4520,0.66,0.73,-0.364,
,1,,,,,0.61,,257.443
,1.48,,,,0.63,,,257.443
,1.1,,,,,0.8,,436.488
0.035,1.04,,,5053,0.63,0.8,,436.488
,1.41,,,,0.63,,,436.488
,1.31,,961,5502.7,0.83,0.88,,243.935
,1.62,,,,0.9,,,243.935
,1.18,,,,,0.91,,243.935
,1.44,,,,0.82,,,369.888
,1.7,,,,,0.93,,369.888
,1.01,,,,,0.22,,161.365
,1.62,,,,,0.56,,451.769
,3.32,,,,0.67,,,451.769
,0.9,,,,,0.41,,109.888
,2,,,,0.37,,,109.888
,0.96,,,,,0.71,,314.35
,1.22,,,,0.67,,,314.35
,,,,3811,0.6,0.59,-1.169,186.197
,,,,3811,0.6,0.59,-1.169,186.197
0.131,1.98,,,4148.21,0.57,0.66,,186.197
,2.18,,,,0.64,,,186.197
,1.99,,,3811,0.6,0.59,-1.169,186.197
,2.2,,,3880,0.59,,,186.197
,2.2,,,3880,0.59,0.61,-1.153,186.197
0.148,6.12,27,886,6025,1.38,1.18,,181.69
,5.847,,,6046,1.41,,,181.69
,6,,,,1.48,,,181.69
